gen,cost
0,10.9697976
1,8.077632099999999
2,8.077632099999999
3,8.077632099999999
4,8.077632099999999
5,7.1638417
6,7.1638417
7,7.1638417
8,7.1638417
9,7.1638417
10,6.8279545
11,6.8279545
12,6.8279545
13,6.8279545
14,6.8279545
15,6.6945315
16,6.6945315
17,6.6945315
18,6.6945315
19,6.6945315
20,6.6805365
21,6.6805365
22,6.6805365
23,6.6805365
24,6.6805365
25,6.6682015
26,6.6682015
27,6.6682015
28,6.6682015
29,6.6682015
30,6.6682015
31,6.6682015
32,6.6682015
33,6.6682015
34,6.6682015
35,6.6682015
36,6.6682015
37,6.6682015
38,6.6682015
39,6.6682015
40,6.6682015
41,6.6682015
42,6.6682015
43,6.6682015
44,6.6682015
45,6.6682015
46,6.6682015
47,6.6682015
48,6.6682015
49,6.6682015
50,6.6682015
51,6.6682015
52,6.6682015
53,6.6682015
54,6.6682015
55,6.6682015
56,6.6682015
57,6.6682015
58,6.6682015
59,6.6682015
60,6.6682015
61,6.6682015
62,6.6682015
63,6.6682015
64,6.6682015
65,6.6682015
66,6.6682015
67,6.6682015
68,6.6682015
69,6.6682015
70,6.6682015
71,6.6682015
72,6.6682015
73,6.6682015
74,6.6682015
75,6.6682015
76,6.6682015
77,6.6682015
78,6.6682015
79,6.6682015
80,6.6682015
81,6.6682015
82,6.6682015
83,6.6682015
84,6.6682015
85,6.6682015
86,6.6682015
87,6.6682015
88,6.6682015
89,6.6682015
90,6.6682015
91,6.6682015
92,6.6682015
93,6.6682015
94,6.6682015
95,6.6682015
96,6.6682015
97,6.6682015
98,6.6682015
99,6.6682015
100,6.6682015
101,6.6682015
102,6.6682015
103,6.6682015
104,6.6682015
105,6.6682015
106,6.6682015
107,6.6682015
108,6.6682015
109,6.6682015
110,6.6682015
111,6.6682015
112,6.6682015
113,6.6682015
114,6.6682015
115,6.6682015
116,6.6682015
117,6.6682015
118,6.6682015
119,6.6682015
120,6.6682015
121,6.6682015
122,6.6682015
123,6.6682015
124,6.6682015
125,6.6682015
